"Institution","Commitment","State","Carnegie Classification","% Change in Net Emissions","Total Net Emissions","Total Offsets","Total Gross Emissions","Total Building Sq. Ft.","per sq ft % Change in Emissions","Enrollment (FTE)","per FTE % Change in Emissions ","RE Energy Gen. (kWh)","Date Signed","Carbon Neutrality Date ","Sustain Web Site"
"University of California, Davis","Carbon","CA","DR","-30.48","267,169","999","268,168","18,235,665","-41.76","28,208","-27.99","0","Mar 27, 2007",2050,"http://sustainability.ucdavis.edu/"
"University of California, Irvine","Carbon","CA","DR","-9.54","143,476","6,123","149,599","11,064,125","-10.30","28,602","-15.66","797,923","Mar 27, 2007",2050,"http://www.sustainability.uci.edu/"
"University of California, Los Angeles","Climate","CA","DR","13.02","382,529","16,443","398,972","30,414,130","-24.87","42,190","-23.04","0","Mar 27, 2007",2025,"http://www.sustain.ucla.edu/"
"University of California, Merced","Carbon","CA","DR","-16.94","13,007","0","13,007","14,906,725","-94.28","6,836","-80.32","2,354,992","Mar 27, 2007",2020,"http://universityofcalifornia.edu/"
"University of California, Riverside","Carbon","CA","DR","-31.94","93,854","152","94,006","6,530,670","-31.56","21,168","-39.55","0","Mar 27, 2007",2025,"http://www.sustainability.ucr.edu/"
"University of California, San Diego","Carbon","CA","DR","-8.18","251,374","11,902","263,276","20,956,546","-30.54","31,921","-20.40","26,464,770","Mar 27, 2007",2025,"http://sustain.ucsd.edu/"
"University of California, San Francisco","Carbon","CA","SP","-23.48","138,295","4,398","142,693","9,845,742","-44.16","3,114","7.21","250","Mar 27, 2007",2050,"http://www.sustainability.ucsf.edu/"
"University of California, Santa Barbara","Carbon","CA","DR","-14.93","73,974","1,444","75,418","8,495,458","-24.06","22,570","-13.87","0","Mar 27, 2007",2025,"http://www.sustainability.ucsb.edu/"
"University of California, Santa Cruz","Carbon","CA","DR","2.03","67,541","2,161","69,702","5,669,513","6.17","20,956","-15.60","337,646","Mar 27, 2007",2025,"http://sustainability.ucsc.edu/"
"University of Central Florida","Carbon","FL","DR","-35.76","95,327","0","95,327","10,158,618","-71.28","54,774","-42.88","197,356","Feb 20, 2007",2050,"http://www.sustainable.ucf.edu/"
"University of Cincinnati","Carbon","OH","DR","-48.51","222,556","311","222,867","17,458,240","-57.76","30,237","-56.38","0","May 3, 2007",2075,"http://www.uc.edu/af/sustainability"
"University of Colorado at Boulder","Carbon","CO","DR","41.28","191,681","8,000","199,681","10,940,926","11.68","29,325","44.53","0","Jun 12, 2007",2099,"http://ecenter.colorado.edu/"
"University of Connecticut","Carbon","CT","DR","-13.69","122,369","4,076","122,605","10,873,545","-15.25","21,600","-25.67","412","Mar 26, 2008",2050,"http://www.ecohusky.uconn.edu/pcc/climatechange.html"
"University of Dayton","Climate","OH","DR","-1.67","78,759","0","78,759","5,330,033","-22.05","10,569","0.00","22,848","Jun 19, 2013",,"https://udayton.edu/artssciences/ctr/hsi/index.php"
"University of Delaware","Carbon","DE","DR","-16.43","127,486","0","127,486","9,391,978","-53.41","22,168","-33.53","6,589,011","Apr 23, 2008",2050,"http://www.udel.edu/sustainability"
"University of Denver","Carbon","CO","DR","-18.87","56,113","12,960","69,073","3,425,325","-25.18","10,543","-21.42","0","May 24, 2007",2050,""
"University of Florida","Carbon","FL","DR","5.88","389,917","271","390,188","16,706,403","10.51","49,019","-2.87","363,174","Dec 12, 2006",2025,"http://www.sustainability.ufl.edu/"
"University of Hawai'i Kaua'i Community College","Carbon","HI","AS","-40.94","2,124","9","2,133","334,479","-40.94","1,424","-64.12","87","Mar 24, 2011",2030,"http://hoouluwehi.blogspot.com/"
"University of Illinois at Chicago","Climate","IL","DR","18.46","320,946","0","320,946","15,304,485","8.85","28,639","0.11","97,758","Oct 2, 2015",2050,"http://sustainability.uic.edu/"
"University of Illinois at Springfield","Carbon","IL","MA","42.48","25,069","50","25,119","1,229,459","21.42","3,575","24.70","0","Jul 12, 2010",,"http://www.uis.edu/sustainability"
"University of Illinois at Urbana-Champaign","Climate","IL","DR","-19.88","454,306","0","404,916","21,625,434","-28.00","45,533","-25.93","6,236,690","Feb 9, 2016",2050,"http://www.sustainability.illinois.edu/"
"University of La Verne","Carbon","CA","DR","141.65","17,703","0","17,703","836,213","38.76","4,803","80.77","213,160","Apr 14, 2008",2060,""
"University of Louisville","Carbon","KY","DR","-14.79","190,994","639","191,007","8,808,652","-32.28","18,342","-20.03","1,654,487","Aug 14, 2008",2050,"http://louisville.edu/sustainability"
"University of Maine","Carbon","ME","DR","-17.17","53,000","0","53,000","4,444,546","-18.98","9,720","-18.97","0","Feb 13, 2007",2040,"http://www.umaine.edu/sustainability"
"University of Maine at Farmington","Carbon","ME","BA","-36.89","7,313","5","7,318","787,556","-38.09","1,641","-24.35","1,111","May 7, 2007",2035,"http://www2.umf.maine.edu/sustainablecampus/"
"University of Maine at Fort Kent","Carbon","ME","BA","-43.75","3,070","0","3,070","269,627","-46.98","838","-38.92","0","Feb 23, 2007",2099,""
"University of Maine at Presque Isle","Carbon","ME","BA","-17.05","4,204","10","4,214","413,000","-16.52","1,533","-24.24","0","Feb 22, 2007",2020,""
"University of Maryland Baltimore","Climate","MD","SP","-8.05","145,205","9,385","154,590","5,800,366","-7.39","6,215","-13.19","21,553,320","Dec 17, 2015",,"http://www.umbfm.umaryland.edu/sus/sus.cfm"
"University of Maryland Baltimore County","Climate","MD","DR","-20.17","70,815","11,850","82,665","3,806,690","-32.92","12,166","-32.45","7,560,000","Dec 11, 2015",2075,"https://www.umbc.edu/sustainability/"
"University of Maryland Center for Environmental Science","Climate","MD","SP","-40.41","7,663","948","7,663","409,834","-45.33","76","-50.60","46,600","Oct 5, 2015",2050,"http://www.umces.edu/sustainability"
"University of Maryland College Park","Carbon","MD","DR","-27.93","239,857","1,476","240,650","14,804,781","-35.56","45,250","-49.47","846,528","May 22, 2007",2050,"http://www.sustainability.umd.edu/"
"University of Maryland Eastern Shore","Carbon","MD","MA","35.89","41,247","6,094","47,341","1,818,463","34.02","4,222","14.59","2,271","Dec 3, 2007",2050,""
"University of Maryland University College","Carbon","MD","MA","-22.15","17,248","61","17,309","996,942","-40.48","42,139","-68.49","0","Nov 30, 2007",2050,""
"University of Massachusetts Amherst","Carbon","MA","DR","-6.06","122,959","0","122,959","12,979,083","-25.39","28,412","-14.46","6,066,512","Sep 15, 2007",2050,"http://www.umass.edu/sustainability"
"University of Massachusetts Boston","Climate","MA","DR","44.07","36,709","0","36,709","2,917,783","21.58","13,036","-2.14","85,000","Mar 2, 2016",2050,"http://www.umb.edu/sustainability"
"University of Massachusetts Dartmouth","Climate","MA","MA","-2.05","43,502","0","43,502","2,822,575","-19.24","8,406","-8.51","3","Jan 7, 2016",2050,"http://www.umassd.edu/sustainability"
"University of Massachusetts Lowell","Climate","MA","DR","-3.81","49,190","0","49,190","4,304,801","-23.64","13,531","-20.05","281,050","Dec 18, 2015",2050,"https://www.uml.edu/sustainability/"
"University of Massachusetts Medical School","Carbon","MA","SP","45.51","142,520","0","142,520","3,178,234","-14.11","1,068","-5.99","0","Sep 15, 2007",2060,"http://www.umassmed.edu/growinggreen/"
"University of Miami","Carbon","FL","DR","-28.02","152,634","0","152,634","9,936,736","-32.46","16,397","-37.81","0","Mar 8, 2007",2060,"http://www.miami.edu/greenu"
"University of Minnesota-Crookston","Carbon","MN","BA","0.00","9,920","0","9,920","726,225","0.00","2,014","0.00","67,080","Jan 4, 2008",2030,"http://www.uservices.umn.edu/sustainableU/index.html"
"University of Minnesota-Duluth","Carbon","MN","DR","-11.93","50,697","0","50,697","3,566,256","-23.74","11,040","-10.14","43,011","Jan 4, 2008",2050,"http://www.d.umn.edu/sustain"
"University of Minnesota-Morris","Climate","MN","BA","-22.03","12,193","-17","12,176","963,254","-22.30","1,560","-15.99","4,582,948","Oct 2, 2015",2020,"http://www.morris.umn.edu/greencampus/"
"University of Minnesota-Rochester","Carbon","MN","SP","9.41","1,031","0","1,031","154,638","-35.62","661","-0.85","0","Jan 4, 2008",2030,"http://r.umn.edu/administration/sustainability/"
"University of Minnesota-Twin Cities","Carbon","MN","DR","-37.26","400,918","0","400,918","24,305,054","-44.24","48,844","-42.28","0","Jan 11, 2008",2050,"http://italladdsup.umn.edu/"
"University of Mississippi","Carbon","MS","DR","0.00","93,827","0","93,827","4,450,218","0.00","11,811","0.00","0","Apr 18, 2008",2050,"http://www.sustain.olemiss.edu"
"University of Montana - Missoula","Carbon","MT","DR","-28.44","43,701","58","43,759","3,548,658","-29.25","12,106","-28.24","53","Feb 26, 2007",2020,"http://www.umt.edu/greeningum"
"University of Mount Union","Carbon","OH","BA","11.04","18,747","0","18,747","1,329,415","-10.65","2,208","5.66","60,000","Dec 10, 2007",2046,"http://www.mountunion.edu/sustainability"
"University of New England","Carbon","ME","MA","-1.33","17,904","159","18,063","1,399,438","-24.96","6,656","-52.82","0","Nov 6, 2008",2038,"http://www.une.edu/sustainability"
"University of New Hampshire","Climate","NH","DR","-40.84","52,978","2,535","53,185","6,607,575","-60.90","14,292","-49.83","39,525","Jan 7, 2016",2099,"http://www.sustainableunh.unh.edu/"
"University of New Mexico-Valencia","Carbon","NM","AS","-39.50","3,911","0","3,911","181,204","-38.88","1,230","-44.22","0","Jun 22, 2007",2040,
"University of North Carolina at Chapel Hill","Carbon","NC","DR","-17.13","498,222","6,120","498,222","20,079,599","-27.78","27,822","-22.87","0","Jan 11, 2007",2050,"http://sustainability.unc.edu/"
"University of North Carolina at Charlotte","Carbon","NC","DR","8.19","123,298","0","123,298","9,464,061","-21.72","26,783","-20.57","0","Oct 14, 2009",2050,"https://facilities.uncc.edu/sustainability"
"University of North Florida","Carbon","FL","MA","-3.07","66,723","0","66,723","4,613,308","-17.36","10,050","0.26","0","Oct 26, 2010",2050,"http://www.unf.edu/ecenter"
"University of Oklahoma Norman Campus","Carbon","OK","DR","-64.50","90,089","0","90,089","7,577,465","-72.27","22,714","-59.05","0","Apr 24, 2007",2050,"http://www.ou.edu/sustainability"
"University of Pennsylvania","Carbon","PA","DR","35.69","290,862","0","290,862","15,929,410","31.98","25,860","11.74","0","May 11, 2007",2042,"http://www.upenn.edu/sustainability/"
"University of Puget Sound","Carbon","WA","BA","-1.25","11,433","0","11,433","1,510,468","-8.98","2,600","8.21","0","Mar 2, 2007",2025,"http://www.pugetsound.edu/about/sustainability-at-puget-sound/"
"University of Rhode Island","Carbon","RI","DR","-24.72","71,994","0","71,994","4,779,721","-36.12","14,460","-40.98","2","Jan 11, 2007",2065,"http://web.uri.edu/sustainability"
"University of Richmond","Carbon","VA","BA","-29.71","34,004","0","34,004","2,783,426","-40.13","3,660","-31.82","275,000","Nov 13, 2007",2050,"http://sustainability.richmond.edu/"
"University of San Diego","Climate","CA","DR","0.00",,"0","0","0","0.00","7,548","0.00","0","Oct 17, 2019",,""
"University of San Francisco","Carbon","CA","DR","-106.04","-1,638","26,883","25,245","2,157,295","-105.81","8,753","-105.69","748,543","May 23, 2011",2050,""
"University of South Carolina Sumter","Carbon","SC","AS","-35.85","1,444","0","1,444","233,280","-35.85","655","-27.33","0","May 3, 2007",2020,""
"University of South Florida","Carbon","FL","DR","13.37","210,351","0","210,351","10,133,730","-31.75","31,927","39.76","30","Apr 14, 2008",2070,"http://www.usf.edu/sustainability"
"University of South Florida St. Petersburg","Carbon","FL","BA","26.45","26,728","112","26,771","1,341,543","-48.20","4,201","101.66","144,500","Apr 22, 2013",2050,"http://usfsp.edu/sustainability"
"University of Southern Maine","Carbon","ME","MA","-7.44","26,235","0","26,235","2,352,364","-1.95","5,713","70.11","30,000","Feb 15, 2007",2040,"http://www.usm.maine.edu/sustainability"
"University of Southern Mississippi","Carbon","MS","DR","-45.32","62,704","0","62,704","5,602,770","-55.96","13,496","-48.83","0","Apr 22, 2008",2050,"http://www.usm.edu/green"
"University of St. Thomas","Carbon","MN","MA","-41.52","41,680","0","41,680","3,191,084","-40.21","8,546","-14.15","50,000","Aug 18, 2008",2035,"http://www.stthomas.edu/sustainability/"
"University of Tennessee at Chattanooga","Carbon","TN","MA","-15.06","46,345","1,769","48,114","2,146,170","0.21","9,305","-23.00","9","Oct 7, 2008",2050,""
"University of Tennessee at Martin","Resilience","TN","MA","0.00",,"0","0","0","0.00","6,478","0.00","0","Sep 12, 2019",,"https://www.utm.edu/sustainability"
"University of Tennessee, Knoxville","Carbon","TN","DR","-57.10","108,660","150,340","259,000","15,164,999","-59.00","28,052","-59.01","70,002","Dec 20, 2006",2061,"http://environment.utk.edu/"
"University of Toledo","Carbon","OH","DR","-37.62","519,432","0","519,432","7,822,755","-45.81","17,293","-8.81","30,945,590","Apr 27, 2009",2058,"http://www.utoledo.edu/sustainability"
"University of Utah","Climate","UT","DR","-0.72","265,680","25,447","291,126","14,242,115","-21.73","25,135","-10.87","0","Apr 23, 2008",2050,"http://www.sustainability.utah.edu/"
"University of Vermont","Carbon","VT","DR","-41.51","53,172","137","53,309","5,743,450","-46.01","11,593","-42.80","272,348","May 23, 2007",2022,"http://www.uvm.edu/sustainability"
"University of Washington ","Carbon","WA","DR","-0.81","192,648","411","193,059","23,302,000","-20.60","42,816","-49.49","10,650","Mar 7, 2007",2050,"http://green.washington.edu/"
"University of Wisconsin-Eau Claire","Carbon","WI","MA","-15.11","35,397","7,682","35,999","2,611,658","-20.11","9,538","-3.09","19,943","Aug 24, 2007",2030,"https://www.uwec.edu/sos/"
"University of Wisconsin-Madison","Resilience","WI","DR","0.00",,"0","0","0","0.00","41,480","0.00","0","Nov 14, 2019",,""
"University of Wisconsin-Milwaukee","Climate","WI","DR","-19.50","118,914","6","114,795","7,905,871","-37.28","21,570","-12.66","155,850","Dec 29, 2016",,"http://uwm.edu/sustainability"
"University of Wisconsin-Oshkosh","Carbon","WI","MA","-36.70","40,253","0","40,253","3,512,891","-51.81","14,059","-54.72","2,110,000","Dec 21, 2006",2025,"http://www.uwosh.edu/sustainability"
"University of Wisconsin-Stevens Point","Carbon","WI","MA","-35.75","27,596","0","27,596","2,784,834","-39.12","7,399","-27.20","0","Mar 22, 2007",2050,"http://www.uwsp.edu/sustainability"
"University of Wisconsin-Stout","Carbon","WI","MA","5.96","32,653","0","32,653","2,559,865","5.12","7,042","0.98","8,798","Sep 12, 2007",2050,"https://www.uwstout.edu/life-stout/sustainability"
"University of Wisconsin-Whitewater","Carbon","WI","MA","11.59","50,880","0","50,880","3,054,629","-7.37","10,888","1.31","36,000","Mar 2, 2007",2050,"http://uww.edu/sustainability"
"Ursinus College","Carbon","PA","BA","19.38","10,646","0","10,646","1,180,725","17.33","1,565","26.32","3","Aug 24, 2007",2060,"https://www.ursinus.edu/offices/sustainability/"
"Utah State University","Carbon","UT","DR","3.87","104,072","235","104,307","9,070,728","-20.41","21,974","-19.04","0","Jan 22, 2007",2050,"http://www.sustainability.usu.edu/"
"Valencia College","Carbon","FL","AS","-68.61","16,477","0","16,477","2,248,086","-77.88","30,222","-77.64","0","Jun 16, 2009",2060,"http://valenciacollege.edu/sustainability/"
"Vermont Law School","Carbon","VT","SP","0.00","2,744","0","2,744","166,000","0.00","711","0.00","0","Nov 26, 2012",2050,""
"Villanova University","Carbon","PA","MA","-42.10","52,828","0","52,828","4,687,202","-59.67","9,085","-44.55","0","May 17, 2007",2050,""
"Virginia Commonwealth University","Carbon","VA","DR","-1.25","130,218","0","130,218","10,993,157","-14.61","27,933","-4.91","0","Apr 2, 2008",2050,"http://www.vcugoesgreen.vcu.edu/"
"Virginia Wesleyan University","Climate","VA","BA","-56.80","9,145","0","9,145","635,224","-62.23","1,415","-67.64","22,542","Jan 17, 2016",2050,"http://www.vwc.edu/peic/practices/index.php"
"Wagner College","Carbon","NY","MA","0.00","15,761","0","15,761","791,855","0.00","2,256","0.00","0","Feb 1, 2007",,""
"Wake Technical Community College","Carbon","NC","AS","123.23","91,971","0","91,971","1,687,433","53.26","31,472","51.00","570,050","Apr 22, 2010",2050,"http://leed.waketech.edu/index.php"
"Warren Wilson College","Carbon","NC","BA","31.92","4,968","560","5,036","671,331","17.81","824","33.21","20,805","Jan 11, 2007",2025,"http://www.warren-wilson.edu/~elc/"
"Washington & Jefferson College","Carbon","PA","BA","-16.83","11,682","1,060","12,742","1,048,562","-20.68","1,443","-13.43","4,000","May 4, 2007",2042,""
"Washington and Lee University","Carbon","VA","BA","-27.38","19,210","0","19,210","2,421,437","-37.97","2,200","-28.04","468,769","Mar 9, 2007",2050,"http://gogreen.wlu.edu/"
"Washington College","Carbon","MD","BA","-3.57","15,576","6","15,582","900,000","-18.21","1,400","-13.42","0","May 8, 2007",2070,"http://ces.washcoll.edu/"
"Washington State University, Pullman","Carbon","WA","DR","-3.76","131,016","3,977","134,993","11,226,224","-12.38","18,396","-14.54","0","Aug 10, 2007",2099,"http://sustainability.wsu.edu/"
"Washington State University, Tri-Cities","Carbon","WA","DR","46.78","5,603","0","5,603","296,148","28.70","265","271.09","0","Aug 15, 2007",2099,""
"Washtenaw Community College","Carbon","MI","AS","-13.39","29,322","0","29,322","1,201,820","-28.71","7,948","-14.20","0","Mar 13, 2012",2060,"http://sustainable.wccnet.edu/"
"Weber State University","Carbon","UT","MA","-24.38","49,689","0","49,689","3,109,721","-39.96","18,069","-46.89","2,674,215","May 24, 2007",2050,"http://www.weber.edu/fm"
"Wells College","Climate","NY","BA","-51.34","2,587","0","2,587","577,747","-46.18","471","-39.77","0","Nov 20, 2015",2050,"https://www.wells.edu/academics/center-sustainability-environment"
"Wentworth Institute of Technology","Carbon","MA","MA","25.67","9,885","0","9,885","1,380,058","9.10","4,222","2.46","0","Jun 29, 2007",2080,"https://www.wit.edu/sustainability"
"Wesleyan University","Carbon","CT","BA","-15.24","26,868","0","26,868","2,772,358","-15.22","3,081","-19.75","227,569","Dec 10, 2007",2050,"http://www.wesleyan.edu/sustainability/"
"West Chester University of Pennsylvania","Carbon","PA","MA","-10.30","37,291","0","37,291","3,968,910","-31.97","15,622","-18.40","0","Oct 20, 2010",2025,"http://www.wcupa.edu/sustainability"
"Western Michigan University","Climate","MI","DR","-9.22","112,991","0","112,991","7,212,806","-3.51","18,418","-0.37","0","Jan 19, 2016",2065,"http://www.wmich.edu/sustainability"
"Western State Colorado University","Carbon","CO","BA","-28.13","7,814","0","7,814","1,111,959","-43.15","2,315","-32.17","14,000","May 29, 2007",2050,"http://www.western.edu/current-students/sustainability"
"Western Technical College","Climate","WI","AS","-64.51","8,715","0","8,715","1,129,700","-80.98","3,185","-56.76","153,709","Jan 22, 2016",2040,"http://www.westerntc.edu/sustainability"
"Western Washington University","Carbon","WA","MA","27.47","31,468","19","31,487","3,444,966","18.37","13,726","23.75","13,000","Jan 12, 2007",2050,"http://www.wwu.edu/sustain"
"Wheelock College","Carbon","MA","MA","36.06","3,354","0","3,354","416,787","14.99","1,331","-4.42","0","Apr 10, 2007",2030,"http://www.wheelock.edu/about/sustainability"
"Whitman College","Carbon","WA","BA","0.00",,"0","0","0","0.00","1,450","0.00","0","Oct 3, 2019",,""
"Whitworth University","Carbon","WA","MA","-27.96","11,930","0","11,930","1,090,625","-51.70","2,603","-41.66","0","Jun 19, 2007",,"http://www.whitworth.edu/"
"Wilkes University","Carbon","PA","MA","0.00","19,235","7","19,242","1,357,013","0.00","3,634","0.00","0","Jun 4, 2007",,""
"William Paterson University of New Jersey","Carbon","NJ","MA","34.29","56,270","0","56,270","1,988,657","27.43","8,437","21.56","4,088,000","Jun 7, 2007",2065,""
"William Rainey Harper College","Carbon","IL","AS","22.37","44,113","0","44,113","1,268,373","26.36","9,372","121.06","0","Aug 2, 2010",2053,"http://goforward.harpercollege.edu/about/consumerinfo/sustainability/"
"Wofford College","Carbon","SC","BA","0.00","13,899","0","13,899","876,197","0.00","1,312","0.00","0","Jan 22, 2008",,""
"Worcester State University","Carbon","MA","MA","10.45","13,486","0","13,486","1,240,765","1.00","4,954","1.96","159","Jun 12, 2007",2050,"http://www.worcester.edu/Green"
"Xavier University","Carbon","OH","MA","-15.16","30,601","0","30,601","2,343,240","-35.95","6,190","-31.47","0","Jan 22, 2008",2030,"http://www.xavier.edu/green/"
